t;N;D;PP;SP;PR;SR;TR;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50
9022;0.0290186;202.706;630.345;192.264;35.826;20.4031;55.5287;0.00429015;0.0875856;5.58847;81.5692;87.4593;0;0;0;0;0;0;0.00941074;0.00975333;0.0171878;0.0268756;0.0166423;6.78473;9.27486;9.90496;10.2108;3.81031;2.35419;0;0;0;0;0;0;0;0;0;9.98617;5.68983;0;2.68887;1.28871;2.60753;3.21222;15.8457;6.49518;4.60058;1.76562e-16;0;0;0;0;4.82012e-12;0.177456;1.08277;4.84325
9023;0.0540338;200.318;597.103;279.824;13.1014;31.5903;50.3914;1.89295;26.9603;12.2844;23.2184;14.0281;0;0;0;0;0;0;0.00197822;0.00216729;0.00519815;0.00879358;0.00269161;4.33603;18.2451;25.6059;27.4081;7.88402;3.58385;0;0;0;0;0;0;0;0;0;8.11865;7.83397;0;4.85265;2.98752;6.08668;7.06218;32.9324;13.1846;6.74011;2.02075e-16;0;0;0;0;5.41947e-12;0.184757;1.12207;4.91027
9024;0.0215651;198.418;661.359;29.5841;54.3139;8.33211;60.2059;38.8746;124.266;8.32088;2.6052;0.980123;0;0;0;0;0;0;0.0571273;0.0762801;0.233504;0.379095;0.00164684;0.540258;1.14464;2.00707;1.90385;2.0094;1.84282;0;0;0;0;0;0;0;0;0;5.03807;6.43767;0;4.80562;3.74873;8.1503;9.37944;42.1738;17.5024;7.68943;2.07994e-16;0;0;0;0;6.31864e-12;0.203965;1.23453;5.40961
9025;0.0318422;204.379;622.672;269.367;25.1869;33.683;54.4249;38.0487;45.2609;27.3206;6.40538;2.53712;0;0;0;0;0;0;5.26636;7.36318;17.2159;24.6099;0.00241851;0.136993;0.0880447;0.142204;0.118033;0.44459;0.801806;0;0;0;0;0;0;0;0;0;2.90974;3.61496;0;2.74111;2.25385;5.24897;6.24797;28.5321;12.4784;5.8276;1.66695e-16;0;0;0;0;6.55888e-12;0.206537;1.24784;5.61116
9026;0.0225759;199.618;661.131;9.63692;53.298;7.96896;60.1701;0.00486325;0.000781286;136.671;57.5669;27.9128;0;0;0;0;0;0;2.20678;3.07039;7.31879;10.2708;0.0118048;0.610069;0.143393;0.158574;0.135443;0.473258;0.831433;0;0;0;0;0;0;0;0;0;1.9559;2.11636;0;1.56833;1.32474;3.26187;3.99709;18.8418;8.54953;4.22751;1.27594e-16;0;0;0;0;6.17033e-12;0.192508;1.16196;5.38407
9027;0.0211093;201.421;652.966;62.2941;51.3458;8.46445;58.9406;0.00147514;0.000131981;103.478;79.0207;55.4571;0;0;0;0;0;0;0.361068;0.512426;1.40816;2.0311;0.107858;7.94824;1.15787;0.843501;0.713636;1.15933;1.39952;0;0;0;0;0;0;0;0;0;1.34904;1.38527;0;0.999161;0.843285;2.17923;2.74809;13.4204;6.3198;3.23888;1.00794e-16;0;0;0;0;5.46896e-12;0.170637;1.02957;4.90308
9028;0.0433078;204.72;613.489;297.73;19.2088;34.9225;53.0218;0.0115435;0.00080318;18.9833;41.0986;54.3152;0;0;0;0;0;0;0.0598718;0.0869201;0.276515;0.411666;0.527094;56.7826;9.87721;5.67763;4.78037;3.414;2.50066;0;0;0;0;0;0;0;0;0;2.93321;2.94085;0;1.74122;1.12499;2.58015;3.13619;15.1825;7.46348;3.34114;8.87708e-17;0;0;0;0;4.86078e-12;0.150988;0.910545;4.42531
9029;0.0530242;199.541;597.239;285.73;14.5953;30.7073;50.4351;17.6227;0.815878;0.918269;15.2772;50.2997;0;0;0;0;0;0;0.0140008;0.0201569;0.0689874;0.106457;0.0895241;25.6801;15.6041;12.6797;11.2609;6.62477;3.68845;0;0;0;0;0;0;0;0;0;11.4924;13.4417;0;6.81162;3.14117;5.68792;6.24913;28.3086;14.0473;4.74956;9.43859e-17;0;0;0;0;5.44769e-12;0.157639;0.946819;4.49902
9030;0.0235471;197.456;655.872;61.2271;50.777;11.8877;59.3775;124.983;17.6831;0.640685;4.37067;11.3635;0;0;0;0;0;0;0.696349;0.825485;1.14213;1.55635;0.01123;0.953714;1.12184;2.38747;2.40537;3.59918;3.17551;0;0;0;0;0;0;0;0;0;10.4985;14.3442;0;7.85776;3.87022;7.04429;7.67493;34.0493;17.7521;5.4619;1.00721e-16;0;0;0;0;8.01042e-12;0.202899;1.20936;5.3295
9031;0.0412451;199.196;617.182;40.6272;21.7779;21.2266;53.4203;1.08793;1.01143;10.5618;33.0436;74.8844;0;0;0;0;0;0;17.0678;17.8746;13.683;16.8275;0.00243835;0.0650591;0.102462;0.426755;0.472139;1.78709;2.64722;0;0;0;0;0;0;0;0;0;7.21337;8.55367;0;4.66154;2.41539;4.65097;5.26264;24.0257;13.2704;4.53619;9.07696e-17;0;0;0;0;1.02433e-11;0.235315;1.39456;5.88289
